"VS_F" "VS_NAZOV" "miestny" "preds" "sum" "FOS" "freq_pr" "freq_miestny" "Size" "stud_avg"
"69" "TUZ - Fakulta environmentálnej a výrobnej techniky" "Technická univerzita vo Zvolene" 36 0 63 "Technické vedy" 0 0.571428571428571 7.93725393319377 265
"70" "TUZ - Lesnícka fakulta" "Technická univerzita vo Zvolene" 16 0 81 "Poľnohospodarske vedy" 0 0.197530864197531 9 805
"71" "TUZ - mimo fakúlt" "Technická univerzita vo Zvolene" 0 0 1 "Poľnohospodarske vedy" 0 0 1 371.5
"72" "UCM - Fakulta masmediálnej komunikácie" "Univerzita sv. Cyrila a Metoda v Trnave" 0 43 47 "Humanitné vedy" 0.914893617021277 0 6.85565460040104 2320
"73" "UCM - Fakulta prírodných vied" "Univerzita sv. Cyrila a Metoda v Trnave" 29 0 62 "Prírodné vedy" 0 0.467741935483871 7.87400787401181 494.5
"74" "UCM - Fakulta sociálnych vied" "Univerzita sv. Cyrila a Metoda v Trnave" 1 0 20 "Spoločenské vedy" 0 0.05 4.47213595499958 1667
"75" "UCM - Filozofická fakulta" "Univerzita sv. Cyrila a Metoda v Trnave" 11 2 26 "Humanitné vedy" 0.0769230769230769 0.423076923076923 5.09901951359278 1096
"76" "UCM - Inštitút fyzioterapie, balneológie a liečebnej rehabilitácie" "Univerzita sv. Cyrila a Metoda v Trnave" 5 0 20 "Lekárske vedy" 0 0.25 4.47213595499958 0
"77" "UJS - Ekonomická fakulta" "Univerzita J. Selyeho" 2 4 54 "Prírodné vedy" 0.0740740740740741 0.037037037037037 7.34846922834953 717
"78" "UJS - Pedagogická fakulta" "Univerzita J. Selyeho" 5 0 42 "Prírodné vedy" 0 0.119047619047619 6.48074069840786 941
"79" "UJS - Reformovaná teologická fakulta" "Univerzita J. Selyeho" 0 0 2 "Humanitné vedy" 0 0 1.4142135623731 78
"80" "UK - Evanjelická bohoslovecká fakulta" "Univerzita Komenského v Bratislave" 0 0 1 "Humanitné vedy" 0 0 1 109.5
"81" "UK - Fakulta managementu" "Univerzita Komenského v Bratislave" 4 1 28 "Spoločenské vedy" 0.0357142857142857 0.142857142857143 5.29150262212918 2883.5
"82" "UK - Fakulta matematiky, fyziky a informatiky" "Univerzita Komenského v Bratislave" 14 0 505 "Prírodné vedy" 0 0.0277227722772277 22.4722050542442 1604.5
"83" "UK - Fakulta sociálnych a ekonomických vied" "Univerzita Komenského v Bratislave" 9 0 29 "Spoločenské vedy" 0 0.310344827586207 5.3851648071345 853.5
"84" "UK - Fakulta telesnej výchovy a športu" "Univerzita Komenského v Bratislave" 5 1 25 "Spoločenské vedy" 0.04 0.2 5 1038
"85" "UK - Farmaceutická fakulta" "Univerzita Komenského v Bratislave" 31 4 120 "Lekárske vedy" 0.0333333333333333 0.258333333333333 10.9544511501033 1256
"86" "UK - Filozofická fakulta" "Univerzita Komenského v Bratislave" 36 2 78 "Humanitné vedy" 0.0256410256410256 0.461538461538462 8.83176086632785 3698.5
"87" "UK - Jesseniova lekárska fakulta v Martine" "Univerzita Komenského v Bratislave" 61 0 248 "Lekárske vedy" 0 0.245967741935484 15.7480157480236 1775.5
"88" "UK - Lekárska fakulta" "Univerzita Komenského v Bratislave" 173 12 547 "Lekárske vedy" 0.0219378427787934 0.316270566727605 23.388031127053 3324
"89" "UK - mimo fakúlt" "Univerzita Komenského v Bratislave" 1 0 7 "Prírodné vedy" 0 0.142857142857143 2.64575131106459 0
"90" "UK - Pedagogická fakulta" "Univerzita Komenského v Bratislave" 11 0 36 "Spoločenské vedy" 0 0.305555555555556 6 2624
"91" "UK - Právnická fakulta" "Univerzita Komenského v Bratislave" 2 0 5 "Spoločenské vedy" 0 0.4 2.23606797749979 2437
